user_id,days_to_ob_from_created,count_purchases_d7,purchases_amount_d7,days_to_purchase_from_ob,LTV_D30,country_Australia,country_Canada,country_Germany,country_Japan,country_Mexico,country_United States,onboarding_incomplete,onboarding_new_ob_complete,onboarding_old_ob_complete,user_segment
1000,0.0,0,0.0,999.0,0.0,False,True,False,False,False,False,False,False,True,Non-Payer
1001,0.0,0,0.0,999.0,0.0,False,False,False,False,False,True,False,True,False,Non-Payer
1002,0.0,0,0.0,999.0,0.0,False,True,False,False,False,False,False,False,True,Non-Payer
1003,0.0,0,0.0,999.0,0.0,True,False,False,False,False,False,False,True,False,Non-Payer
1004,0.0,0,0.0,999.0,0.0,False,False,True,False,False,False,False,False,True,Non-Payer
1005,0.0,0,0.0,999.0,0.0,False,False,False,False,False,True,False,True,False,Non-Payer
1006,0.0,0,0.0,999.0,0.0,False,False,False,False,False,True,False,False,True,Non-Payer
1007,0.0,0,0.0,999.0,0.0,False,True,False,False,False,False,False,True,False,Non-Payer
1008,0.0,0,0.0,999.0,0.0,True,False,False,False,False,False,False,False,True,Non-Payer
1009,0.0,2,12.99,1.0,62.99,False,False,False,False,False,True,False,False,True,Dolphin
1010,0.0,0,0.0,999.0,100.0,False,False,False,False,False,True,False,True,False,Dolphin
1011,0.0,0,0.0,999.0,0.0,False,False,True,False,False,False,False,True,False,Non-Payer
1012,0.0,0,0.0,999.0,0.0,True,False,False,False,False,False,False,False,True,Non-Payer
1013,0.0,0,0.0,999.0,0.0,False,True,False,False,False,False,False,False,True,Non-Payer
1014,0.0,0,0.0,999.0,0.0,False,True,False,False,False,False,False,False,True,Non-Payer
1015,999.0,0,0.0,999.0,0.0,False,False,False,False,False,True,True,False,False,Non-Payer
1016,0.0,0,0.0,999.0,0.0,False,False,False,False,True,False,False,False,True,Non-Payer
1017,0.0,0,0.0,999.0,0.0,True,False,False,False,False,False,False,False,True,Non-Payer
1018,0.0,0,0.0,999.0,0.0,False,False,False,False,False,True,False,False,True,Non-Payer
1019,0.0,0,0.0,999.0,0.0,False,False,False,False,False,True,False,True,False,Non-Payer
1020,0.0,0,0.0,999.0,0.0,False,False,False,False,True,False,False,True,False,Non-Payer
1021,0.0,0,0.0,999.0,0.0,False,False,False,False,False,True,False,False,True,Non-Payer
1022,0.0,1,25.0,6.0,25.0,False,False,False,False,False,True,False,True,False,Minnow
1023,0.0,0,0.0,999.0,0.0,False,True,False,False,False,False,False,True,False,Non-Payer
1024,0.0,0,0.0,999.0,0.0,False,False,False,False,True,False,False,False,True,Non-Payer
1025,0.0,0,0.0,999.0,0.0,True,False,False,False,False,False,False,True,False,Non-Payer
1026,0.0,0,0.0,999.0,0.0,False,False,False,False,False,True,False,False,True,Non-Payer
1027,999.0,0,0.0,999.0,0.0,False,False,False,False,False,True,True,False,False,Non-Payer
1028,0.0,0,0.0,999.0,0.0,False,False,True,False,False,False,False,True,False,Non-Payer
1029,999.0,0,0.0,999.0,0.0,False,False,False,False,False,True,True,False,False,Non-Payer
1030,999.0,0,0.0,999.0,0.0,False,False,False,False,False,True,True,False,False,Non-Payer
1031,0.0,0,0.0,999.0,0.0,False,False,False,False,False,True,False,True,False,Non-Payer
1032,0.0,0,0.0,999.0,0.0,False,True,False,False,False,False,False,False,True,Non-Payer
1033,0.0,0,0.0,999.0,0.0,False,False,False,False,False,True,False,True,False,Non-Payer
1034,0.0,0,0.0,999.0,0.0,False,False,False,False,True,False,False,False,True,Non-Payer
1035,0.0,3,15.98,0.0,15.98,False,False,False,False,False,True,False,True,False,Minnow
1036,999.0,0,0.0,999.0,0.0,False,False,False,False,False,True,True,False,False,Non-Payer
1037,999.0,0,0.0,999.0,0.0,False,False,False,False,False,True,True,False,False,Non-Payer
1038,0.0,0,0.0,999.0,0.0,False,False,False,False,False,True,False,True,False,Non-Payer
1039,0.0,0,0.0,999.0,50.0,False,True,False,False,False,False,False,False,True,Dolphin
1040,0.0,0,0.0,999.0,100.0,False,True,False,False,False,False,False,True,False,Dolphin
1041,0.0,0,0.0,999.0,0.0,True,False,False,False,False,False,False,False,True,Non-Payer
1042,0.0,0,0.0,999.0,0.0,False,True,False,False,False,False,False,False,True,Non-Payer
1043,0.0,0,0.0,999.0,0.0,False,True,False,False,False,False,False,False,True,Non-Payer
1044,0.0,1,10.0,3.0,10.0,False,True,False,False,False,False,False,True,False,Minnow
1045,0.0,0,0.0,999.0,0.0,False,False,False,False,False,True,False,False,True,Non-Payer
1046,999.0,0,0.0,999.0,0.0,False,False,False,False,False,True,True,False,False,Non-Payer
1047,0.0,1,10.0,3.0,10.0,False,True,False,False,False,False,False,True,False,Minnow
1048,0.0,0,0.0,999.0,0.0,False,False,False,False,False,True,False,True,False,Non-Payer
1049,999.0,0,0.0,999.0,0.0,False,False,False,True,False,False,True,False,False,Non-Payer
1050,0.0,1,25.0,6.0,25.0,False,False,False,False,False,True,False,False,True,Minnow
1051,999.0,0,0.0,999.0,0.0,False,False,False,True,False,False,True,False,False,Non-Payer
1052,0.0,0,0.0,999.0,0.0,False,False,True,False,False,False,False,True,False,Non-Payer
1053,0.0,0,0.0,999.0,0.0,False,True,False,False,False,False,False,True,False,Non-Payer
1054,0.0,2,27.99,0.0,52.99,False,False,False,False,False,True,False,False,True,Dolphin
1055,0.0,0,0.0,999.0,0.0,True,False,False,False,False,False,False,False,True,Non-Payer
1056,0.0,1,25.0,7.0,35.0,False,False,False,False,False,True,False,True,False,Dolphin
1057,0.0,1,10.0,3.0,10.0,False,False,False,False,False,True,False,True,False,Minnow
1058,0.0,0,0.0,999.0,0.0,False,False,False,False,False,True,False,True,False,Non-Payer
1059,0.0,0,0.0,999.0,0.0,False,False,False,False,False,True,False,True,False,Non-Payer
1060,0.0,0,0.0,999.0,0.0,False,False,False,False,True,False,False,True,False,Non-Payer
1061,0.0,0,0.0,999.0,0.0,False,False,True,False,False,False,False,True,False,Non-Payer
1062,999.0,0,0.0,999.0,0.0,False,False,False,False,False,True,True,False,False,Non-Payer
1063,0.0,0,0.0,999.0,0.0,False,True,False,False,False,False,False,True,False,Non-Payer
1064,0.0,0,0.0,999.0,0.0,False,False,False,False,True,False,False,False,True,Non-Payer
1065,0.0,0,0.0,999.0,0.0,False,False,False,False,False,True,False,True,False,Non-Payer
1066,0.0,0,0.0,999.0,0.0,False,True,False,False,False,False,False,False,True,Non-Payer
1067,0.0,0,0.0,999.0,0.0,False,False,False,False,False,True,False,True,False,Non-Payer
1068,0.0,0,0.0,999.0,0.0,False,False,False,False,True,False,False,True,False,Non-Payer
1069,0.0,0,0.0,999.0,0.0,False,True,False,False,False,False,False,False,True,Non-Payer
1070,999.0,0,0.0,999.0,0.0,False,False,False,False,False,True,True,False,False,Non-Payer
1071,0.0,0,0.0,999.0,50.0,False,True,False,False,False,False,False,False,True,Dolphin
1072,0.0,0,0.0,999.0,0.0,False,False,True,False,False,False,False,False,True,Non-Payer
1073,0.0,0,0.0,999.0,0.0,False,True,False,False,False,False,False,False,True,Non-Payer
1074,0.0,0,0.0,999.0,0.0,False,False,False,False,False,True,False,True,False,Non-Payer
1075,0.0,0,0.0,999.0,0.0,False,True,False,False,False,False,False,False,True,Non-Payer
1076,999.0,0,0.0,999.0,0.0,False,False,False,False,False,True,True,False,False,Non-Payer
1077,0.0,0,0.0,999.0,0.0,False,False,False,False,True,False,False,False,True,Non-Payer
1078,999.0,0,0.0,999.0,0.0,False,False,False,False,False,True,True,False,False,Non-Payer
1079,0.0,1,10.0,2.0,112.99,False,False,False,False,False,True,False,True,False,Whale
1080,999.0,0,0.0,999.0,0.0,False,False,False,True,False,False,True,False,False,Non-Payer
1081,999.0,0,0.0,999.0,0.0,False,False,False,False,False,True,True,False,False,Non-Payer
1082,999.0,0,0.0,999.0,0.0,False,False,False,False,False,True,True,False,False,Non-Payer
1083,0.0,0,0.0,999.0,0.0,True,False,False,False,False,False,False,False,True,Non-Payer
1084,999.0,0,0.0,999.0,0.0,False,False,False,False,False,True,True,False,False,Non-Payer
1085,999.0,0,0.0,999.0,0.0,False,False,False,True,False,False,True,False,False,Non-Payer
1086,999.0,0,0.0,999.0,0.0,False,False,False,True,False,False,True,False,False,Non-Payer
1087,0.0,1,10.0,2.0,10.0,False,False,False,False,False,True,False,True,False,Minnow
1088,0.0,0,0.0,999.0,0.0,False,False,False,False,False,True,False,True,False,Non-Payer
1089,0.0,0,0.0,999.0,0.0,False,False,False,False,True,False,False,False,True,Non-Payer
1090,999.0,0,0.0,999.0,0.0,False,False,False,False,False,True,True,False,False,Non-Payer
